Transaction Hash,Date & Time,From Address,To Address,Transaction Type,Asset Contract Address,Asset Symbol / Name,Token ID,Value / Amount,Gas Fee (ETH)
0xd58728d2603768ecb8823619d3cd6e2d0f1daa3f3073f9fe0beb9adc79170781,2025-08-24T15:11:35.000Z,0xa39b189482f984388a34460636fea9eb181ad1a6,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,contract interaction,,ETH,,0,0.00005560646250176
0x94bcccffda6327af2e5a609eb1186347a1847418d3cb55fe723479dc0723c6e3,2024-11-26T06:35:59.000Z,0x258494a21d9ea90fcbcb9e22bd57c6899de0d995,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,,647.821942,0.000407198241582885
0x69ea1c58662db26c43462221339b386709d4b44af23ce9b7feb401c0c3deeea9,2024-11-26T13:16:11.000Z,0x8c8d7c46219d9205f056f28fee5950ad564d7465,0xa39b189482f984388a34460636fea9eb181ad1a6,ETH transfer,,ETH,,0.005646810060003162,0.000579953337789
0x5ba94c0c84deaba03adbac8495bdcd75c8a0e53fccb386fcdfdc052030205a27,2024-12-20T00:04:47.000Z,0x258494a21d9ea90fcbcb9e22bd57c6899de0d995,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20,0xdac17f958d2ee523a2206206994597c13d831ec7,USDT,,832.445411,0.000845048029301237
0xfcd8c3e39f59d0b5c40c3700961141b4c227d12b9a3bfda711c9120cf08d3e5c,2025-02-14T02:52:11.000Z,0xfe18ca748583566c4fa7dc40700ed4243ecc0a3c,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,801.797344,0.00006222131356606
0x70180fff2c5e884ab70c6b427443c7f6ec3cec2e8a32fe30555d3d273eaf5451,2025-03-10T06:19:35.000Z,0xfe18ca748583566c4fa7dc40700ed4243ecc0a3c,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,289.89527,0.00003455221877272
0x37077f6a0225a9be78d8a1d224b8a9f05aad80cc89dd560942cca4638ee712d6,2025-03-12T04:13:47.000Z,0xfe18ca748583566c4fa7dc40700ed4243ecc0a3c,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,8899.885422,0.000030709666935428
0x5f7648f416a5fa18833416b86caebf86a629da7b4f8f3f89182a3a8f081688ef,2025-04-07T08:39:35.000Z,0xb8001c3ec9aa1985f6c747e25c28324e4a361ec1,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,500,0.000525400842251632
0x2d0632cabdf045bab785ceef01cb3dfed0002654b5a40545fdece724d6219741,2025-06-22T14:21:11.000Z,0xeba88149813bec1cccccfdb0dacefaaa5de94cb1,0xa39b189482f984388a34460636fea9eb181ad1a6,ETH transfer,,ETH,,0.00527999,0.000189
0xd80896e323904233452d55d5e1a3438dcab750437dd4f759f6b3c8c3b515314c,2025-06-23T05:53:11.000Z,0xfe18ca748583566c4fa7dc40700ed4243ecc0a3c,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,7006.531143,0.000027680636431492
0xcae60872961fa872bc850c96418480fa8f9b8a51f5f00bfdad7cf9d443978d85,2025-08-03T23:44:23.000Z,0x170e41f078594f15bba65a9e5070399adcdbfe72,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20,0x2dbd330bc9b7f3a822a9173ab52172bdddcace2a,YFED,,0.00001,0.0038950275
0x9c82f122c31765ce73b3eea5ca858e3a3dfed7db2d1ac920811abd9a45010278,2025-09-05T17:16:23.000Z,0xc33fb3b128f75ca352b945b8c8f9273f6c2606cf,0xa39b189482f984388a34460636fea9eb181ad1a6,ERC-20,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,USDC,,307.693295,0.00003302287169468
